File,FSL,Genus,species,AT,Lab_ID,Trial,HTST_Temp,PlateType,Storage_Temp,Day
Lonestar ESL Isolates.xlsx#Sheet1,L8-0107,,,,1-75-3-D14-3,1,75,,3,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0108,,,,1-85-3-D14-1,1,85,,3,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0109,,,,1-85-3-D14-2,1,85,,3,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0110,,,,1-85-3-D14-3,1,85,,3,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0111,,,,1-90-3-D14-1,1,90,,3,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0112,,,,1-90-3-D14-2,1,90,,3,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0113,,,,1-90-3-D14-3,1,90,,3,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0114,,,,1-90-3-D14-4,1,90,,3,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0115,,,,1-75-6.5-D14-1,1,75,,6.5,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0116,,,,1-75-6.5-D14-2,1,75,,6.5,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0117,,,,1-85-6.5-D14-1,1,85,,6.5,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0118,,,,1-90-6.5-D14-1,1,90,,6.5,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0119,,,,1-90-6.5-D14-2,1,90,,6.5,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0120,,,,1-90-6.5-D14-3,1,90,,6.5,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0121,,,,1-75-10-D14-1,1,75,,10,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0122,,,,1-75-10-D14-2,1,75,,10,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0123,,,,1-75-10-D14-3,1,75,,10,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0124,,,,1-85-10-D14-1,1,85,,10,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0125,,,,1-85-10-D14-2,1,85,,10,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0126,,,,1-90-10-D14-1,1,90,,10,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0127,,,,1-90-10-D14-2,1,90,,10,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0128,,,,1-CVTA-85-6.5-D14-1,1,85,CVTA,6.5,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0129,,,,1-CVTA-75-10-D14-1,1,75,CVTA,10,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0130,,,,1-CVTA-85-10-D14-1,1,85,CVTA,10,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0131,,,,1-CVTA-90-10-D14-1,1,90,CVTA,10,14
Lonestar ESL Isolates.xlsx#Sheet1,L8-0132,,,,1-75-3-D21-1,1,75,,3,21
Lonestar ESL Isolates.xlsx#Sheet1,L8-0133,,,,1-75-3-D21-2,1,75,,3,21
Lonestar ESL Isolates.xlsx#Sheet1,L8-0134,,,,1-75-3-D21-3,1,75,,3,21
Lonestar ESL Isolates.xlsx#Sheet1,L8-0135,,,,1-85-3-D21-1,1,85,,3,21
Lonestar ESL Isolates.xlsx#Sheet1,L8-0136,,,,1-85-3-D21-2,1,85,,3,21
Lonestar ESL Isolates.xlsx#Sheet1,L8-0137,,,,1-90-3-D21-1,1,90,,3,21
Lonestar ESL Isolates.xlsx#Sheet1,L8-0138,,,,1-90-3-D21-2,1,90,,3,21
Lonestar ESL Isolates.xlsx#Sheet1,L8-0139,,,,1-75-6.5-D21-1,1,75,,6.5,21
Lonestar ESL Isolates.xlsx#Sheet1,L8-0140,,,,1-75-6.5-D21-2,1,75,,6.5,21
Lonestar ESL Isolates.xlsx#Sheet1,L8-0141,,,,1-75-6.5-D21-3,1,75,,6.5,21
Lonestar ESL Isolates.xlsx#Sheet1,L8-0142,,,,1-75-6.5-D21-4,1,75,,6.5,21
Lonestar ESL Isolates.xlsx#Sheet1,L8-0143,,,,1-75-6.5-D21-5,1,75,,6.5,21
Lonestar ESL Isolates.xlsx#Sheet1,L8-0144,,,,1-85-6.5-D21-1,1,85,,6.5,21
Lonestar ESL Isolates.xlsx#Sheet1,L8-0145,,,,1-85-6.5-D21-2,1,85,,6.5,21
Lonestar ESL Isolates.xlsx#Sheet1,L8-0146,,,,1-85-6.5-D21-3,1,85,,6.5,21
Lonestar ESL Isolates.xlsx#Sheet1,L8-0147,,,,1-85-6.5-D21-4,1,85,,6.5,21
Lonestar ESL Isolates.xlsx#Sheet1,L8-0148,,,,1-90-6.5-D21-1,1,90,,6.5,21
Lonestar ESL Isolates.xlsx#Sheet1,L8-0149,,,,1-90-6.5-D21-2,1,90,,6.5,21
Lonestar ESL Isolates.xlsx#Sheet1,L8-0150,,,,1-90-6.5-D21-3,1,90,,6.5,21
Lonestar ESL Isolates.xlsx#Sheet1,L8-0151,,,,1-75-10-D21-1,1,75,,10,21
Lonestar ESL Isolates.xlsx#Sheet1,L8-0152,,,,1-85-10-D21-1,1,85,,10,21
Lonestar ESL Isolates.xlsx#Sheet1,L8-0153,,,,1-85-10-D21-2,1,85,,10,21
Lonestar ESL Isolates.xlsx#Sheet1,L8-0154,,,,1-90-10-D21-1,1,90,,10,21
Lonestar ESL Isolates.xlsx#Sheet1,L8-0155,,,,1-CVTA-85-6.5-D21-1,1,85,CVTA,6.5,21
Lonestar ESL Isolates.xlsx#Sheet1,L8-0156,,,,1-CVTA-75-10-D21-1,1,75,CVTA,10,21
Lonestar ESL Isolates.xlsx#Sheet1,L8-0157,,,,1-CVTA-85-10-D21-1,1,85,CVTA,10,21
Lonestar ESL Isolates.xlsx#Sheet1,L8-0158,,,,1-CVTA-90-10-D21-1,1,90,CVTA,10,21
Lonestar ESL Isolates.xlsx#Sheet1,L8-0159,,,,1-CVTA-85-6.5-D28-1,1,85,CVTA,6.5,28
Lonestar ESL Isolates.xlsx#Sheet1,L8-0160,,,,1-CVTA-75-10-D28-1,1,75,CVTA,10,28
Lonestar ESL Isolates.xlsx#Sheet1,L8-0161,,,,1-CVTA-85-10-D28-1,1,85,CVTA,10,28
Lonestar ESL Isolates.xlsx#Sheet1,L8-0162,,,,1-CVTA-90-10-D28-1,1,90,CVTA,10,28
